,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,status,superkingdom,phylum,class,order,family,genus,species,strain,sample_id
41B_Day7_22_S74_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020661,5010659,4991776,4956440,4887891,4709709,37,1185431,5013479,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.03,1.000,0.00,0.32,0.00,0 + 0 part,1185431,5013479,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_22_S74_L002.fasta
41B_Day7_23_S82_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020661,5010659,4991776,4956440,4887841,4709659,37,1185431,5013479,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.03,1.000,0.00,0.06,0.00,0 + 0 part,1185431,5013479,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_23_S82_L002.fasta
41B_Day7_24_S90_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062177,5061757,5060097,5051541,5051541,5011505,4,5011505,5061757,5062596,50.60,50.60,5011505,5011505,5011505,5011505,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.36,0.02,0 + 0 part,5011505,5061757,5011505,5011505,5011505,5011505,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_24_S90_L002.fasta
41B_Day7_2_S9_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,64,34,26,21,17,12,5020014,5011248,4991272,4955872,4887557,4709375,37,1185431,5013259,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.025,1.000,0.00,0.10,0.00,0 + 0 part,1185431,5013259,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_2_S9_L002.fasta
41B_Day7_3_S17_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020660,5010659,4991776,4956440,4887891,4709709,37,1185431,5013479,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.03,1.000,0.00,0.10,0.00,0 + 0 part,1185431,5013479,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_3_S17_L002.fasta
41B_Day7_4_S25_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020660,5010659,4991776,4956440,4887891,4709709,37,1185431,5013479,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.03,1.000,0.00,0.02,0.00,0 + 0 part,1185431,5013479,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_4_S25_L002.fasta
41B_Day7_5_S33_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,67,33,26,21,17,12,5020868,5010722,4991839,4956440,4887891,4709709,37,1185431,5013542,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.031,1.000,0.00,0.02,0.00,0 + 0 part,1185431,5013542,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_5_S33_L002.fasta
41B_Day7_6_S41_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020360,5010337,4991454,4956230,4887631,4709449,38,1185431,5013760,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.035,1.000,0.00,0.06,0.00,0 + 0 part,1185431,5013760,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_6_S41_L002.fasta
41B_Day7_7_S49_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.12,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_7_S49_L002.fasta
41B_Day7_8_S57_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.12,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_8_S57_L002.fasta
41B_Day7_9_S65_L002,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020661,5010659,4991776,4956440,4887841,4709659,37,1185431,5013479,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.03,1.000,0.00,0.10,0.00,0 + 0 part,1185431,5013479,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Day7_9_S65_L002.fasta
41B_Month1_10_S188,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,15,15,12,9,7,3,5284668,5284668,5276041,5256021,5233275,5090310,15,4972350,5284668,5062596,50.60,50.60,4972350,4972350,4972350,4972350,1,1,1,1,2,2,94587,14,0,0,0,0 + 0 part,0,99.806,1.046,0.00,6.33,0.93,0 + 0 part,4970637,5282707,4970637,4970637,4970637,4970637,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_10_S188.fasta
41B_Month1_11_S1891,Bacteria,5449,104,58,0,87,17,0,0,0,100.0,5.17,100.0,35,8,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,19,17,11,9,6,3,5235551,5235012,5217747,5203340,5151157,5017311,17,3922976,5235012,5062596,50.54,50.60,3922976,3922976,983815,3922976,1,1,2,1,4,4,193859,6,0,0,0,0 + 0 part,0,99.858,1.036,0.00,4.17,0.95,0 + 0 part,3922283,5233973,3922283,3922283,983632,3922283,1,1,2,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_11_S1891.fasta
41B_Month1_12_S1899,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,16,15,12,9,7,5,5255633,5255505,5244981,5221981,5197780,5123271,15,4852847,5255505,5062596,50.58,50.60,4852847,4852847,4852847,4852847,1,1,1,1,3,3,184522,4,0,0,0,0 + 0 part,0,99.258,1.046,0.00,3.20,0.42,0 + 0 part,4852174,5254606,4852174,4852174,4852174,4852174,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_12_S1899.fasta
41B_Month1_13_S1812,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062175,5061755,5060095,5051539,5051539,5011503,4,5011503,5061755,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.979,1.000,0.00,1.32,0.06,0 + 0 part,5011257,5061509,5011257,5011257,5011257,5011257,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_13_S1812.fasta
41B_Month1_14_S182,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,62,31,24,19,17,11,5020523,5010843,4991960,4956561,4929057,4709549,35,1185430,5013663,5062596,50.57,50.60,747198,747198,358910,358910,3,3,6,6,0,0,0,1,0,0,0,0 + 0 part,0,99.028,1.000,0.00,0.08,0.02,0 + 0 part,1185430,5013367,746902,746902,358910,358910,3,3,6,6,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_14_S182.fasta
41B_Month1_15_S1828,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,62,30,24,19,17,11,5017142,5007996,4992396,4957192,4929688,4717056,33,1185431,5010297,5062596,50.56,50.60,747198,747198,359326,359326,3,3,6,6,0,0,0,0,0,0,0,0 + 0 part,0,98.967,1.000,0.00,0.08,0.00,0 + 0 part,1185431,5010297,747198,747198,359326,359326,3,3,6,6,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_15_S1828.fasta
41B_Month1_16_S1836,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,67,33,26,21,17,12,5020760,5010623,4991740,4956341,4887792,4709610,37,1185431,5013443,5062596,50.57,50.60,396466,396466,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.029,1.000,0.00,0.08,0.00,0 + 0 part,1185431,5013443,396466,396466,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_16_S1836.fasta
41B_Month1_17_S1844,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,54,29,23,19,17,11,5020069,5011559,4995983,4967817,4940313,4720806,34,1185431,5015326,5062596,50.57,50.60,747198,747198,358910,358910,3,3,6,6,0,0,0,0,0,0,0,0 + 0 part,0,99.066,1.000,0.00,0.10,0.00,0 + 0 part,1185431,5015326,747198,747198,358910,358910,3,3,6,6,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_17_S1844.fasta
41B_Month1_18_S1852,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,77,38,27,22,19,12,5019298,5009478,4978959,4943623,4891696,4640498,41,1185431,5011489,5062596,50.57,50.60,747198,747198,268809,219300,3,3,6,7,0,0,0,0,0,0,0,0 + 0 part,0,98.99,1.000,0.00,0.10,0.00,0 + 0 part,1185431,5011489,747198,747198,268809,219300,3,3,6,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_18_S1852.fasta
41B_Month1_19_S186,Bacteria,5449,104,58,0,97,7,0,0,0,100.0,8.62,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,16,15,11,8,5,3,5300808,5300388,5286876,5262986,5210719,5141559,15,5008137,5300388,5062596,50.52,50.60,5008137,5008137,5008137,5008137,1,1,1,1,3,3,5090675,5,0,0,0,0 + 0 part,0,99.906,1.048,0.00,4.41,1.60,0 + 0 part,4810748,5299076,4810748,4810748,4810748,4810748,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_19_S186.fasta
41B_Month1_1_S1811,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,5,4,2,2,1,5062050,5061325,5059665,5044601,5044601,5011504,5,5011504,5061325,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.969,1.000,0.00,0.71,0.00,0 + 0 part,5011208,5061029,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_1_S1811.fasta
41B_Month1_20_S1868,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.67,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41B_Month1_20_S1868.fasta
