,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,ID,status,superkingdom,phylum,class,order,family,genus
23B_Day7_23_S1304,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,1.72,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,16,16,15,9,8,5,5518079,5518079,5514906,5475802,5456044,5349176,16,5056045,5518079,5064668,50.56,50.57,5056045,5056045,5056045,5056045,1,1,1,1,9,6,5259768,9,0,0,0,0 + 1 part,1451,99.875,1.091,0.00,7.77,1.30,4721 + 4 part,4205014,5512492,4205014,4205014,4205014,4205014,1,1,1,1,AZ20_assemblies/23B_Day7_23_S1304.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_24_S1305,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065172,5065172,5061999,5056485,5056485,5056485,3,5056485,5065172,5064668,50.57,50.57,5056485,5056485,5056485,5056485,1,1,1,1,2,1,5056485,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,4.15,0.22,4730 + 2 part,4694377,5063924,4694377,4694377,4694377,4694377,1,1,1,1,AZ20_assemblies/23B_Day7_24_S1305.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_2_S768,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,7,3,2,1,1,5086402,5086402,5075014,5069500,5055457,5055457,7,5055457,5086402,5064668,50.52,50.57,5055457,5055457,5055457,5055457,1,1,1,1,3,1,5055457,2,0,0,1,3 + 2 part,23150,99.883,1.001,0.00,7.79,0.24,4729 + 3 part,2656029,5062181,2656029,2656029,2036440,2036440,1,1,2,2,AZ20_assemblies/23B_Day7_2_S768.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_3_S375,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,155,66,43,34,25,21,4987368,4956393,4903829,4841244,4708832,4563665,87,611060,4970754,5064668,50.53,50.57,218093,218093,151899,129826,7,7,13,14,0,0,0,5,0,0,0,0 + 0 part,0,98.142,1.000,0.00,1.43,0.02,4594 + 52 part,611060,4970732,218093,218093,151897,129826,7,7,13,14,AZ20_assemblies/23B_Day7_3_S375.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_4_S376,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,7,5,4,4,4,5042490,5042490,5034428,5028914,5028914,5028914,7,3165405,5042490,5064668,50.55,50.57,3165405,3165405,1323115,1323115,1,1,2,2,8,4,5028914,9,0,0,0,0 + 1 part,1336,98.948,1.006,0.00,9.00,0.64,4669 + 6 part,1759061,5037778,1273043,1273043,1038368,1038368,2,2,3,3,AZ20_assemblies/23B_Day7_4_S376.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_5_S377,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065167,5065167,5061994,5056480,5056480,5056480,3,5056480,5065167,5064668,50.57,50.57,5056480,5056480,5056480,5056480,1,1,1,1,2,1,5056480,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,3.99,0.32,4729 + 3 part,4694372,5063919,4694372,4694372,4694372,4694372,1,1,1,1,AZ20_assemblies/23B_Day7_5_S377.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_6_S378,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065079,5065079,5061906,5056392,5056392,5056392,3,5056392,5065079,5064668,50.57,50.57,5056392,5056392,5056392,5056392,1,1,1,1,2,1,5056392,1,0,0,0,0 + 0 part,0,99.92,1.001,0.00,3.58,0.26,4730 + 2 part,4694297,5063843,4694297,4694297,4694297,4694297,1,1,1,1,AZ20_assemblies/23B_Day7_6_S378.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_7_S379,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,8,7,6,5,4,5141323,5141323,5138150,5132636,5119027,5074806,8,2942202,5141323,5064668,50.57,50.57,2942202,2942202,1582567,1582567,1,1,2,2,2,2,3226837,10,0,0,0,0 + 1 part,1263,99.876,1.016,0.00,4.05,0.32,4720 + 9 part,2916251,5138561,2916251,2916251,1582264,1582264,1,1,2,2,AZ20_assemblies/23B_Day7_7_S379.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_8_S38,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065171,5065171,5061998,5056484,5056484,5056484,3,5056484,5065171,5064668,50.57,50.57,5056484,5056484,5056484,5056484,1,1,1,1,2,1,5056484,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.63,0.24,4730 + 2 part,4694376,5063923,4694376,4694376,4694376,4694376,1,1,1,1,AZ20_assemblies/23B_Day7_8_S38.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_9_S38,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065142,5065142,5061969,5056455,5056455,5056455,3,5056455,5065142,5064668,50.57,50.57,5056455,5056455,5056455,5056455,1,1,1,1,2,1,5056455,1,0,0,0,0 + 0 part,0,99.92,1.001,0.00,2.79,0.18,4728 + 4 part,4694359,5063906,4694359,4694359,4694359,4694359,1,1,1,1,AZ20_assemblies/23B_Day7_9_S38.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_10_S42,Bacteria,5449,104,58,1,91,12,0,0,0,99.14,10.66,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,197,195,53,14,4,4,5742782,5741175,5405692,5146680,4986696,4986696,197,2173600,5742782,5064668,50.54,50.57,1542343,1542343,1111335,1111335,2,2,3,3,118,95,4397887,7,0,0,0,0 + 0 part,0,99.046,1.145,0.00,32.06,7.00,4677 + 9 part,1627438,5737425,830118,1111335,359609,545781,3,2,5,4,AZ20_assemblies/23B_Month3_10_S42.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_11_S4,Bacteria,5449,104,58,0,92,12,0,0,0,100.0,12.54,100.0,38,5,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,318,311,36,7,6,6,5821955,5818615,5205588,5022807,5012369,5012369,315,1725794,5821545,5064668,50.56,50.57,915528,1107816,429518,473448,3,2,5,4,253,220,2236215,17,0,0,0,0 + 1 part,1693,99.258,1.158,0.00,40.24,8.79,4669 + 25 part,1725413,5813841,915482,1011928,378539,429518,3,2,5,4,AZ20_assemblies/23B_Month3_11_S4.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_12_S44,Bacteria,5449,104,58,0,96,8,0,0,0,100.0,10.34,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,10,8,6,6,6,5264433,5264433,5257714,5246736,5246736,5246736,10,3357985,5264433,5064668,50.55,50.57,3357985,3357985,611779,611779,1,1,2,2,4,3,4147449,15,0,0,0,0 + 1 part,1852,99.859,1.041,0.00,8.98,0.91,4717 + 8 part,3338280,5253324,3338280,3338280,436165,486855,1,1,3,2,AZ20_assemblies/23B_Month3_12_S44.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_13_S177,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,161,69,44,35,25,18,4990732,4957474,4898542,4833415,4674312,4438729,94,611060,4974197,5064668,50.54,50.57,285527,285527,156552,129919,6,6,11,12,0,0,0,1,0,0,0,0 + 0 part,0,98.204,1.000,0.00,0.82,0.04,4590 + 63 part,611060,4974196,285527,285527,156552,129919,6,6,11,12,AZ20_assemblies/23B_Month3_13_S177.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_14_S178,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5067674,5067674,5064501,5058987,5058987,5058987,3,5058987,5067674,5064668,50.57,50.57,5058987,5058987,5058987,5058987,1,1,1,1,6,1,5058987,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.28,0.22,4730 + 2 part,3054589,5066598,3054589,3054589,1343173,1343173,1,1,2,2,AZ20_assemblies/23B_Month3_14_S178.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_15_S179,Bacteria,5449,104,58,0,98,6,0,0,0,100.0,8.62,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,31,31,21,16,7,2,5431272,5431272,5402724,5368680,5236181,5053077,31,4924855,5431272,5064668,50.64,50.57,4924855,4924855,4924855,4924855,1,1,1,1,3,3,90496,9,0,0,0,0 + 0 part,0,99.927,1.073,0.00,9.54,1.28,4724 + 4 part,4923745,5429717,4923745,4923745,4923745,4923745,1,1,1,1,AZ20_assemblies/23B_Month3_15_S179.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_16_S18,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5066417,5066417,5063244,5057730,5057730,5057730,3,5057730,5066417,5064668,50.57,50.57,5057730,5057730,5057730,5057730,1,1,1,1,4,1,5057730,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.68,0.30,4730 + 2 part,4397755,5065346,4397755,4397755,4397755,4397755,1,1,1,1,AZ20_assemblies/23B_Month3_16_S18.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_17_S18,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5066421,5066421,5063248,5057734,5057734,5057734,3,5057734,5066421,5064668,50.57,50.57,5057734,5057734,5057734,5057734,1,1,1,1,4,1,5057734,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,2.45,0.22,4730 + 2 part,4397759,5065350,4397759,4397759,4397759,4397759,1,1,1,1,AZ20_assemblies/23B_Month3_17_S18.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_18_S182,Bacteria,5449,104,58,0,77,27,0,0,0,100.0,23.2,100.0,32,11,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,130,130,54,26,9,2,5904275,5904275,5717963,5516609,5254341,5031400,130,3977588,5904275,5064668,50.53,50.57,3977588,3977588,1053812,3977588,1,1,2,1,25,19,4288811,16,0,0,0,0 + 1 part,1985,99.509,1.171,0.00,21.05,5.14,4696 + 9 part,3576052,5894805,3576052,3576052,1053812,1053812,1,1,2,2,AZ20_assemblies/23B_Month3_18_S182.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_19_S18,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,1.72,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,50,43,31,25,17,7,5659633,5656797,5616515,5581583,5452479,5073682,45,1920459,5658355,5064668,50.59,50.57,1615867,1615867,1214616,1214616,2,2,3,3,5,4,89316,12,0,0,0,0 + 1 part,1451,99.81,1.119,0.00,11.71,1.52,4708 + 15 part,1918730,5653119,1614903,1614903,1214481,1214481,2,2,3,3,AZ20_assemblies/23B_Month3_19_S18.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_1_S,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5066417,5066417,5063244,5057730,5057730,5057730,3,5057730,5066417,5064668,50.57,50.57,5057730,5057730,5057730,5057730,1,1,1,1,4,1,5057730,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,2.87,0.34,4730 + 2 part,4397753,5065346,4397753,4397753,4397753,4397753,1,1,1,1,AZ20_assemblies/23B_Month3_1_S.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_20_S184,Bacteria,5449,104,58,3,81,20,0,0,0,95.69,13.15,100.0,30,13,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,536,536,28,13,13,13,6036907,6036907,5004089,4913786,4913786,4913786,536,1248744,6036907,5064668,50.66,50.57,434380,544829,132860,274958,4,3,10,7,598,462,3148707,17,0,0,0,0 + 3 part,4028,97.969,1.216,0.00,42.20,6.87,4582 + 70 part,805260,6024389,294167,376299,132860,255752,6,5,13,9,AZ20_assemblies/23B_Month3_20_S184.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_21_S185,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5066432,5066432,5063259,5057745,5057745,5057745,3,5057745,5066432,5064668,50.57,50.57,5057745,5057745,5057745,5057745,1,1,1,1,4,1,5057745,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.17,0.20,4729 + 3 part,4397590,5065184,4397590,4397590,4397590,4397590,1,1,1,1,AZ20_assemblies/23B_Month3_21_S185.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_22_S25,Bacteria,5449,104,58,0,102,2,0,0,0,100.0,3.45,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,26,25,18,14,7,4,5357527,5357378,5334433,5307982,5194953,5064714,25,4718848,5357378,5064668,50.57,50.57,4718848,4718848,4718848,4718848,1,1,1,1,5,5,196954,11,0,0,0,0 + 1 part,1776,99.832,1.059,0.00,11.00,1.80,4719 + 7 part,4715819,5353727,4715819,4715819,4715819,4715819,1,1,1,1,AZ20_assemblies/23B_Month3_22_S25.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_23_S252,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,12,12,9,7,5,3,5168247,5168247,5162161,5148999,5113242,5023942,12,4897013,5168247,5064668,50.53,50.57,4897013,4897013,4897013,4897013,1,1,1,1,3,3,79019,10,0,0,0,0 + 1 part,1642,99.882,1.021,0.00,10.02,0.75,4719 + 5 part,4894413,5165591,4894413,4894413,4894413,4894413,1,1,1,1,AZ20_assemblies/23B_Month3_23_S252.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Month3_24_S25,Bacteria,5449,104,58,0,78,26,0,0,0,100.0,22.41,100.0,27,16,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,38,37,32,25,12,4,5759301,5759119,5741790,5689830,5446858,5135083,37,4342300,5759119,5064668,50.60,50.57,4342300,4342300,4342300,4342300,1,1,1,1,5,5,291612,12,0,0,0,0 + 0 part,0,99.958,1.138,0.00,7.37,0.85,4727 + 4 part,4341548,5757138,4341548,4341548,4341548,4341548,1,1,1,1,AZ20_assemblies/23B_Month3_24_S25.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
