sample,phage_id,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral genes with unknown function,Viral genes with host benefits,Viral structure genes,Viral hypothetical genes,Viral genes with viral benefits,Viral replication genes,identification,simple_id
41B_Day7_3_S17_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,8.0,7.0,10.0,2.0,14.0,./DRAMv/41B_Day7_3_S17_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_3
41B_Day7_3_S17_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,5.0,7.0,12.0,1.0,9.0,./DRAMv/41B_Day7_3_S17_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_3
41B_Day7_4_S25_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Day7_4_S25_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_4
41B_Day7_4_S25_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,5.0,14.0,./DRAMv/41B_Day7_4_S25_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_4
41B_Day7_4_S25_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,6.0,12.0,4.0,9.0,./DRAMv/41B_Day7_4_S25_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_4
41B_Day7_5_S33_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,0.0,10.0,2.0,7.0,./DRAMv/41B_Day7_5_S33_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_5
41B_Day7_5_S33_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,18.0,2.0,11.0,1.0,2.0,./DRAMv/41B_Day7_5_S33_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_5
41B_Day7_6_S41_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,14.0,10.0,5.0,7.0,./DRAMv/41B_Day7_6_S41_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_6
41B_Day7_6_S41_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,11.0,11.0,5.0,4.0,./DRAMv/41B_Day7_6_S41_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_6
41B_Day7_7_S49_L002,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,2.0,10.0,2.0,5.0,./DRAMv/41B_Day7_7_S49_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_7
41B_Day7_7_S49_L002,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,17.0,3.0,12.0,1.0,1.0,./DRAMv/41B_Day7_7_S49_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_7
41B_Day7_7_S49_L002,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,2.0,0.0,11.0,0.0,0.0,./DRAMv/41B_Day7_7_S49_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_7
41B_Day7_8_S57_L002,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,15.0,0.0,10.0,2.0,14.0,./DRAMv/41B_Day7_8_S57_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_8
41B_Day7_8_S57_L002,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,10.0,2.0,12.0,1.0,9.0,./DRAMv/41B_Day7_8_S57_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_8
41B_Day7_8_S57_L002,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,1.0,0.0,11.0,0.0,1.0,./DRAMv/41B_Day7_8_S57_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_8
41B_Month1_11_S1891,1__0_partial_1-cat_1,1,False,False,61,12,0,False,0.09836065573770493,19.0,6.0,7.0,10.0,8.0,11.0,./DRAMv/41B_Month1_11_S1891/dramv-distill/vMAG_stats.tsv,41B_Month1_11
41B_Month1_11_S1891,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,6.0,11.0,8.0,6.0,./DRAMv/41B_Month1_11_S1891/dramv-distill/vMAG_stats.tsv,41B_Month1_11
41B_Month1_10_S188,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,5.0,14.0,./DRAMv/41B_Month1_10_S188/dramv-distill/vMAG_stats.tsv,41B_Month1_10
41B_Month1_10_S188,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,7.0,12.0,3.0,9.0,./DRAMv/41B_Month1_10_S188/dramv-distill/vMAG_stats.tsv,41B_Month1_10
41B_Month1_10_S188,1__2_partial-cat_1,1,False,False,18,3,0,False,0.0,2.0,0.0,1.0,14.0,0.0,1.0,./DRAMv/41B_Month1_10_S188/dramv-distill/vMAG_stats.tsv,41B_Month1_10
41B_Month1_10_S188,2__0_partial_1-cat_1,1,False,False,32,3,0,False,0.09375,14.0,3.0,0.0,7.0,3.0,5.0,./DRAMv/41B_Month1_10_S188/dramv-distill/vMAG_stats.tsv,41B_Month1_10
41B_Day7_9_S65_L002,4__0_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Day7_9_S65_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_9
41B_Day7_9_S65_L002,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,8.0,14.0,10.0,2.0,7.0,./DRAMv/41B_Day7_9_S65_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_9
41B_Day7_9_S65_L002,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,5.0,11.0,12.0,1.0,5.0,./DRAMv/41B_Day7_9_S65_L002/dramv-distill/vMAG_stats.tsv,41B_Day7_9
41B_Month1_12_S1899,1__0_partial_1-cat_1,1,False,False,60,11,0,False,0.08333333333333333,19.0,7.0,14.0,10.0,5.0,5.0,./DRAMv/41B_Month1_12_S1899/dramv-distill/vMAG_stats.tsv,41B_Month1_12
41B_Month1_12_S1899,1__1_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,6.0,11.0,12.0,5.0,1.0,./DRAMv/41B_Month1_12_S1899/dramv-distill/vMAG_stats.tsv,41B_Month1_12
41B_Month1_13_S1812,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,8.0,14.0,10.0,2.0,7.0,./DRAMv/41B_Month1_13_S1812/dramv-distill/vMAG_stats.tsv,41B_Month1_13
41B_Month1_13_S1812,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,5.0,11.0,12.0,1.0,5.0,./DRAMv/41B_Month1_13_S1812/dramv-distill/vMAG_stats.tsv,41B_Month1_13
41B_Month1_13_S1812,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Month1_13_S1812/dramv-distill/vMAG_stats.tsv,41B_Month1_13
41B_Month1_14_S182,2__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,18.0,2.0,12.0,2.0,1.0,./DRAMv/41B_Month1_14_S182/dramv-distill/vMAG_stats.tsv,41B_Month1_14
41B_Month1_14_S182,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,0.0,10.0,4.0,5.0,./DRAMv/41B_Month1_14_S182/dramv-distill/vMAG_stats.tsv,41B_Month1_14
41B_Month1_15_S1828,2__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,18.0,3.0,12.0,1.0,1.0,./DRAMv/41B_Month1_15_S1828/dramv-distill/vMAG_stats.tsv,41B_Month1_15
41B_Month1_15_S1828,6__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,2.0,10.0,2.0,5.0,./DRAMv/41B_Month1_15_S1828/dramv-distill/vMAG_stats.tsv,41B_Month1_15
41B_Month1_16_S1836,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,10.0,14.0,10.0,2.0,5.0,./DRAMv/41B_Month1_16_S1836/dramv-distill/vMAG_stats.tsv,41B_Month1_16
41B_Month1_16_S1836,7__0_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,9.0,11.0,11.0,1.0,2.0,./DRAMv/41B_Month1_16_S1836/dramv-distill/vMAG_stats.tsv,41B_Month1_16
41B_Month1_18_S1852,2__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,3.0,6.0,12.0,9.0,5.0,./DRAMv/41B_Month1_18_S1852/dramv-distill/vMAG_stats.tsv,41B_Month1_18
41B_Month1_18_S1852,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,10.0,9.0,./DRAMv/41B_Month1_18_S1852/dramv-distill/vMAG_stats.tsv,41B_Month1_18
41B_Month1_17_S1844,2__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,3.0,8.0,12.0,8.0,4.0,./DRAMv/41B_Month1_17_S1844/dramv-distill/vMAG_stats.tsv,41B_Month1_17
41B_Month1_17_S1844,5__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,11.0,10.0,8.0,7.0,./DRAMv/41B_Month1_17_S1844/dramv-distill/vMAG_stats.tsv,41B_Month1_17
41B_Month1_19_S186,1__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,3.0,11.0,13.0,3.0,5.0,./DRAMv/41B_Month1_19_S186/dramv-distill/vMAG_stats.tsv,41B_Month1_19
41B_Month1_19_S186,1__1_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,14.0,10.0,5.0,7.0,./DRAMv/41B_Month1_19_S186/dramv-distill/vMAG_stats.tsv,41B_Month1_19
41B_Month1_19_S186,1__2_partial_1-cat_1,1,False,False,14,2,0,False,0.0,2.0,0.0,1.0,10.0,0.0,1.0,./DRAMv/41B_Month1_19_S186/dramv-distill/vMAG_stats.tsv,41B_Month1_19
41B_Month1_1_S1811,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,14.0,10.0,5.0,7.0,./DRAMv/41B_Month1_1_S1811/dramv-distill/vMAG_stats.tsv,41B_Month1_1
41B_Month1_1_S1811,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,11.0,12.0,3.0,5.0,./DRAMv/41B_Month1_1_S1811/dramv-distill/vMAG_stats.tsv,41B_Month1_1
41B_Month1_1_S1811,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Month1_1_S1811/dramv-distill/vMAG_stats.tsv,41B_Month1_1
41B_Month1_20_S1868,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,0.0,10.0,2.0,7.0,./DRAMv/41B_Month1_20_S1868/dramv-distill/vMAG_stats.tsv,41B_Month1_20
41B_Month1_20_S1868,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,17.0,2.0,12.0,1.0,2.0,./DRAMv/41B_Month1_20_S1868/dramv-distill/vMAG_stats.tsv,41B_Month1_20
41B_Month1_20_S1868,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,2.0,0.0,11.0,0.0,0.0,./DRAMv/41B_Month1_20_S1868/dramv-distill/vMAG_stats.tsv,41B_Month1_20
41B_Month1_21_S1876,1__0_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,3.0,9.0,13.0,6.0,4.0,./DRAMv/41B_Month1_21_S1876/dramv-distill/vMAG_stats.tsv,41B_Month1_21
41B_Month1_21_S1876,1__1_partial_1-cat_1,1,False,False,62,12,0,False,0.0967741935483871,19.0,6.0,12.0,11.0,7.0,7.0,./DRAMv/41B_Month1_21_S1876/dramv-distill/vMAG_stats.tsv,41B_Month1_21
41B_Month1_21_S1876,28__full-cat_1,1,False,False,12,1,0,False,0.16666666666666666,4.0,2.0,0.0,2.0,1.0,3.0,./DRAMv/41B_Month1_21_S1876/dramv-distill/vMAG_stats.tsv,41B_Month1_21
41B_Month1_22_S1884,1__0_partial_1-cat_1,1,False,False,60,11,0,False,0.08333333333333333,19.0,10.0,14.0,10.0,2.0,5.0,./DRAMv/41B_Month1_22_S1884/dramv-distill/vMAG_stats.tsv,41B_Month1_22
41B_Month1_22_S1884,1__1_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,9.0,11.0,13.0,1.0,1.0,./DRAMv/41B_Month1_22_S1884/dramv-distill/vMAG_stats.tsv,41B_Month1_22
41B_Month1_22_S1884,1__2_partial-cat_1,1,False,False,18,4,0,False,0.0,2.0,1.0,1.0,14.0,0.0,0.0,./DRAMv/41B_Month1_22_S1884/dramv-distill/vMAG_stats.tsv,41B_Month1_22
41B_Month1_22_S1884,2__full_1-cat_1,1,False,False,29,4,0,False,0.03448275862068965,6.0,4.0,11.0,7.0,0.0,1.0,./DRAMv/41B_Month1_22_S1884/dramv-distill/vMAG_stats.tsv,41B_Month1_22
41B_Month1_23_S1892,1__0_partial_1-cat_1,1,False,False,60,11,0,False,0.08333333333333333,19.0,14.0,2.0,10.0,10.0,5.0,./DRAMv/41B_Month1_23_S1892/dramv-distill/vMAG_stats.tsv,41B_Month1_23
41B_Month1_23_S1892,1__1_partial_1-cat_1,1,False,False,46,8,0,False,0.06521739130434782,11.0,10.0,3.0,12.0,9.0,1.0,./DRAMv/41B_Month1_23_S1892/dramv-distill/vMAG_stats.tsv,41B_Month1_23
41B_Month1_24_S19,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,5.0,7.0,10.0,10.0,9.0,./DRAMv/41B_Month1_24_S19/dramv-distill/vMAG_stats.tsv,41B_Month1_24
41B_Month1_24_S19,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,3.0,6.0,12.0,8.0,5.0,./DRAMv/41B_Month1_24_S19/dramv-distill/vMAG_stats.tsv,41B_Month1_24
41B_Month1_24_S19,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,0.0,1.0,11.0,0.0,1.0,./DRAMv/41B_Month1_24_S19/dramv-distill/vMAG_stats.tsv,41B_Month1_24
41B_Month1_3_S1827,1__0_partial_1-cat_1,1,False,False,46,7,0,False,0.06521739130434782,11.0,18.0,2.0,12.0,1.0,2.0,./DRAMv/41B_Month1_3_S1827/dramv-distill/vMAG_stats.tsv,41B_Month1_3
41B_Month1_3_S1827,1__1_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,22.0,0.0,10.0,2.0,7.0,./DRAMv/41B_Month1_3_S1827/dramv-distill/vMAG_stats.tsv,41B_Month1_3
41B_Month1_4_S1835,1__0_partial_1-cat_1,1,False,False,61,11,0,False,0.08196721311475409,20.0,15.0,0.0,10.0,2.0,14.0,./DRAMv/41B_Month1_4_S1835/dramv-distill/vMAG_stats.tsv,41B_Month1_4
41B_Month1_4_S1835,1__1_partial_1-cat_1,1,False,False,45,7,0,False,0.06666666666666668,11.0,9.0,3.0,12.0,1.0,9.0,./DRAMv/41B_Month1_4_S1835/dramv-distill/vMAG_stats.tsv,41B_Month1_4
41B_Month1_4_S1835,1__2_partial_1-cat_1,1,False,False,15,3,0,False,0.0,2.0,1.0,0.0,11.0,0.0,1.0,./DRAMv/41B_Month1_4_S1835/dramv-distill/vMAG_stats.tsv,41B_Month1_4
