	index	PERMANOVA_PseudoF	p_value	unifrac_type	num_samples	num_sequences
896	yiaG_1	5.4166359026188395	0.001	unweighted	1205	1205
897	yphF	2.8202720272942408	0.021	unweighted	1160	1160
898	yqaB	4.6054184688586295	0.001	unweighted	1160	1160
899	macA	3.033950453369448	0.003	unweighted	1133	1133
900	allD_1	2.8344356017741497	0.005	unweighted	1211	1211
901	yfiL	5.040917543298877	0.001	unweighted	1183	1183
902	ucpA	2.668274605050861	0.02	unweighted	1160	1160
903	mcrB_1	5.097157834470572	0.001	unweighted	1095	1095
904	gatD	2.769640035473998	0.017	unweighted	1172	1172
905	chbB_1	4.095117519702332	0.002	unweighted	1204	1204
906	mtlR	3.105821794453165	0.015	unweighted	1163	1163
907	mlaA	3.0689997917215783	0.005	unweighted	1144	1144
908	yjbH	3.4482656155043876	0.004	unweighted	1157	1157
909	csgD	4.087986827132203	0.002	unweighted	1182	1182
910	insF-1_1	4.15763932286406	0.001	unweighted	1199	1199
911	torR_5	4.0396335390780695	0.001	unweighted	1205	1205
912	ispA	4.32386139389373	0.002	unweighted	1169	1169
913	potF	3.631123176664984	0.005	unweighted	1133	1133
914	ulaA_1	3.3860546844255044	0.003	unweighted	1203	1203
915	uidC	3.813342215276911	0.002	unweighted	1160	1160
916	ybjL	3.7003937787497163	0.005	unweighted	1140	1140
917	mtr	2.199355639981782	0.052	unweighted	1161	1161
918	waaJ_1	3.255736305446184	0.006	unweighted	1204	1204
919	nrdG	3.199169084232248	0.006	unweighted	1143	1143
920	yoaE	3.5956123856596824	0.006	unweighted	1158	1158
921	rpoD	2.732517262848026	0.017	unweighted	1163	1163
922	degP	4.406732677757725	0.001	unweighted	1161	1161
923	hmuT	2.6287406706343974	0.022	unweighted	1159	1159
924	uxaC	2.6840867802943547	0.024	unweighted	1165	1165
925	proW	4.5000193634068975	0.002	unweighted	1156	1156
926	mukB	2.147572774685609	0.06	unweighted	1146	1146
927	fdrA	3.944564322701083	0.001	unweighted	1172	1172
928	trpS	2.8687451228341985	0.011	unweighted	1162	1162
929	gnd	2.904980439538391	0.012	unweighted	1160	1160
930	pstA	3.0344680106656385	0.013	unweighted	1184	1184
931	caiE_1	5.3454512584170475	0.001	unweighted	1196	1196
932	trkH	2.882220316686706	0.012	unweighted	1169	1169
933	lpxH	3.4924483808808136	0.003	unweighted	1170	1170
934	hbp	3.568863356394235	0.003	unweighted	1162	1162
935	yheO	2.7399249388399465	0.02	unweighted	1167	1167
936	treF	2.220064745566052	0.056	unweighted	1151	1151
937	fur	3.656994389921381	0.003	unweighted	1164	1164
938	dtpB	2.4901039373459395	0.024	unweighted	1177	1177
939	nirB	2.508324171282548	0.032	unweighted	1164	1164
940	yacH	4.1263208388061905	0.003	unweighted	1152	1152
941	acpH	3.1334894725801243	0.013	unweighted	1166	1166
942	rpsB	4.0143318407611455	0.003	unweighted	1173	1173
943	tusD	2.9588994553454917	0.015	unweighted	1176	1176
944	ydiF_2	3.3433295949076074	0.002	unweighted	1210	1210
945	amiD	3.9163405799963615	0.002	unweighted	1132	1132
946	yccX	3.8006606136976093	0.003	unweighted	1172	1172
947	sugE	3.141360180849664	0.011	unweighted	1151	1151
948	csrA	4.457900970262775	0.003	unweighted	1166	1166
949	exbB	2.696766943663377	0.015	unweighted	1179	1179
950	ycjQ	5.374602428743441	0.002	unweighted	1170	1170
951	recF_2	4.03468843490013	0.001	unweighted	1206	1206
952	hyaA	3.9829874330458668	0.004	unweighted	1173	1173
953	rpsH	3.931326594414782	0.001	unweighted	1168	1168
954	acrA_1	4.2121873245975365	0.001	unweighted	1210	1210
955	yadE	4.167912568946743	0.002	unweighted	1159	1159
956	dppB_2	10.023993849358513	0.001	unweighted	1211	1211
957	sodB	4.282730142728614	0.002	unweighted	1178	1178
958	tdcA	2.3125679202464506	0.047	unweighted	1163	1163
959	yadD_1	2.340300484356558	0.015	unweighted	1205	1205
960	epmA	2.8468499274170362	0.013	unweighted	1179	1179
961	yegE	3.556860851935125	0.001	unweighted	1137	1137
962	glcA	2.6988240342294025	0.016	unweighted	1156	1156
963	lpxB	3.97139501109421	0.001	unweighted	1173	1173
964	frsA	3.7428183781947304	0.004	unweighted	1170	1170
965	yieH	3.127841653522007	0.011	unweighted	1172	1172
966	pheS	3.2372122039111737	0.003	unweighted	1164	1164
967	efeB	4.542823725137951	0.002	unweighted	1160	1160
968	ydgH	4.296666341359469	0.002	unweighted	1178	1178
969	mltD	3.014781988328424	0.006	unweighted	1172	1172
970	sgbH	2.63236521786685	0.019	unweighted	1177	1177
971	ssb	3.694040186760823	0.004	unweighted	1175	1175
972	ynfK	3.9002566050606626	0.001	unweighted	1169	1169
973	acrB_2	4.24575164086453	0.001	unweighted	1210	1210
974	ynaL	4.61088553706295	0.001	unweighted	1146	1146
975	safA	4.5045187156971345	0.001	unweighted	1175	1175
976	ispE	4.472939928217016	0.001	unweighted	1171	1171
977	potB	4.338977481873878	0.002	unweighted	1174	1174
978	torR_1	3.274250751579048	0.001	unweighted	1211	1211
979	fecE_2	3.9629869346906643	0.001	unweighted	1204	1204
980	bolA	3.9393227831808044	0.004	unweighted	1175	1175
981	mfd	3.3927859209980853	0.002	unweighted	1156	1156
982	tolA	2.566089570228294	0.017	unweighted	1180	1180
983	lolA_1	3.4637477430659946	0.004	unweighted	1202	1202
984	mlaE	2.786663772502784	0.017	unweighted	1165	1165
985	sad	4.082219742209874	0.001	unweighted	1176	1176
986	yfgF	1.9959769050374807	0.057	unweighted	1162	1162
987	cdiA_2	5.590325837691867	0.001	unweighted	1140	1140
988	yfiH	4.46343216905541	0.001	unweighted	1170	1170
989	yraQ	2.5154021581748234	0.023	unweighted	1170	1170
990	tonB_1	5.3400352106425055	0.001	unweighted	1201	1201
991	yhbV	2.4318381283441948	0.033	unweighted	1168	1168
992	yqfA	3.76860114865765	0.003	unweighted	1169	1169
993	lepB	3.05765063183675	0.012	unweighted	1158	1158
994	hns_1	4.423229364111237	0.001	unweighted	1200	1200
995	imm_2	5.16611797938582	0.001	unweighted	1202	1202
996	yegQ	2.5588581457102637	0.022	unweighted	1166	1166
997	ydiR	4.221280420435085	0.001	unweighted	1166	1166
998	ptsG_1	3.8197659637078014	0.002	unweighted	1204	1204
999	cysB	5.543423708538488	0.001	unweighted	1166	1166
1000	yjbF	2.576059403678513	0.023	unweighted	1163	1163
1001	selB	2.7512004680487268	0.025	unweighted	1165	1165
1002	proC	3.1896451482635526	0.007	unweighted	1155	1155
1003	yfiB	5.160214286971284	0.001	unweighted	1167	1167
1004	chbC_2	3.7479791485092293	0.001	unweighted	1201	1201
1005	yphH	3.119650710269808	0.01	unweighted	1163	1163
1006	treR	3.3166180344711833	0.005	unweighted	1133	1133
1007	adhP	3.3815553595694285	0.012	unweighted	1172	1172
1008	cysH	4.243110200068267	0.001	unweighted	1183	1183
1009	yjjN_1	4.935317902606951	0.001	unweighted	1206	1206
1010	yhbX_1	5.0241169277349575	0.001	unweighted	1200	1200
1011	dnaC	3.028801453265833	0.013	unweighted	1169	1169
1012	yibQ	3.519982895289824	0.002	unweighted	1181	1181
1013	fdnI	2.643355854884398	0.032	unweighted	1179	1179
1014	ybdL	3.3912064813806233	0.007	unweighted	1160	1160
1015	menA	2.775558845816738	0.018	unweighted	1167	1167
1016	envC	3.410273882795298	0.007	unweighted	1171	1171
1017	ycjO	4.792323251516513	0.001	unweighted	1157	1157
1018	sfmM2	3.455459616145835	0.007	unweighted	1159	1159
1019	nrdI	5.264525530624244	0.001	unweighted	1175	1175
1020	plsX	3.465783140155262	0.002	unweighted	1173	1173
1021	pyrE	3.3380864727330284	0.002	unweighted	1174	1174
1022	yccF	3.15991924305684	0.016	unweighted	1180	1180
1023	argR_2	10.07861785990636	0.001	unweighted	1193	1193
1024	csiD	4.38890565752458	0.002	unweighted	1173	1173
1025	mog	3.0818045219380634	0.006	unweighted	1162	1162
1026	dkgA_1	5.1839738181055655	0.001	unweighted	1206	1206
1027	potH	3.813930870455397	0.003	unweighted	1120	1120
1028	fucK_1	3.867703419323346	0.002	unweighted	1204	1204
1029	fecD_5	2.824406574877074	0.001	unweighted	1210	1210
1030	wzzE	3.457871783543864	0.002	unweighted	1175	1175
1031	grxC	2.9321757227477843	0.014	unweighted	1155	1155
1032	clpP_2	5.105055141638679	0.001	unweighted	1210	1210
1033	flhC	3.73110808187316	0.002	unweighted	1157	1157
1034	fadM	3.579629212411111	0.007	unweighted	1177	1177
1035	yohK_2	8.93218913507908	0.001	unweighted	1205	1205
1036	ytfP	2.9975558338986095	0.004	unweighted	1145	1145
1037	emrE	3.780725375653791	0.003	unweighted	1164	1164
1038	lysC	2.193238716638785	0.053	unweighted	1165	1165
1039	wzc	2.664510443480813	0.016	unweighted	1156	1156
1040	exuT_2	9.650482399455283	0.001	unweighted	1200	1200
1041	rseB	2.9099670049419544	0.012	unweighted	1166	1166
1042	rutB_1	4.444421244299804	0.001	unweighted	1210	1210
1043	ybiT	3.673249538378553	0.003	unweighted	1141	1141
1044	recO	2.9819807978924957	0.012	unweighted	1155	1155
1045	ecpR	3.6205264221218427	0.005	unweighted	1165	1165
1046	ygdQ_2	5.053515194973231	0.001	unweighted	1205	1205
1047	folE	3.112785973462193	0.008	unweighted	1164	1164
1048	znuC	3.3132272299892436	0.004	unweighted	1174	1174
1049	neo	4.281571953225393	0.001	unweighted	1165	1165
1050	pspD	5.308397664876269	0.001	unweighted	1173	1173
1051	yfjJ_2	8.29975832723148	0.001	unweighted	1204	1204
1052	fabF_3	6.794667820925082	0.001	unweighted	1211	1211
1053	ydjN	3.9390357366466393	0.002	unweighted	1178	1178
1054	yihN	2.5613885753053505	0.024	unweighted	1175	1175
1055	yhaJ	2.6663418191918495	0.026	unweighted	1168	1168
1056	glnG	3.461469219968088	0.007	unweighted	1160	1160
1057	codA	3.103917764086512	0.009	unweighted	1161	1161
1058	phoR	3.054156679582382	0.008	unweighted	1157	1157
1059	ssuE	3.172190765359604	0.011	unweighted	1168	1168
1060	ygcP	4.453109093069007	0.002	unweighted	1175	1175
1061	yfjT	2.9094166756839295	0.017	unweighted	1158	1158
1062	uvrD	3.1368490248819625	0.002	unweighted	1159	1159
1063	entE_2	4.249810175098622	0.002	unweighted	1210	1210
1064	pdxJ	2.5915123033910246	0.022	unweighted	1152	1152
1065	ilvB_2	12.679096176223899	0.001	unweighted	1211	1211
1066	tsaD	2.330143766572343	0.034	unweighted	1169	1169
1067	frwD	3.3077057877523552	0.005	unweighted	1168	1168
1068	marA	4.372871224076725	0.001	unweighted	1166	1166
1069	yiaM	3.101864534203907	0.003	unweighted	1172	1172
1070	galM	3.5888683402790242	0.003	unweighted	1169	1169
1071	yhfG	2.9977965715936263	0.015	unweighted	1168	1168
1072	ydcM	3.2937171134755148	0.008	unweighted	1179	1179
1073	yihD	3.398569408908283	0.004	unweighted	1174	1174
1074	prpC	2.7664050895508896	0.007	unweighted	1157	1157
1075	nudB	3.6267066747591103	0.006	unweighted	1168	1168
1076	intD	3.623736343106462	0.003	unweighted	1171	1171
1077	kdgR	3.7220353398395964	0.004	unweighted	1157	1157
1078	napG	3.5547422838952794	0.003	unweighted	1169	1169
1079	yrbG	2.7054570162753455	0.017	unweighted	1169	1169
1080	yeiP_2	4.049778775754898	0.001	unweighted	1209	1209
1081	tyrA	4.009067368337052	0.001	unweighted	1177	1177
1082	crp	3.1690700887212926	0.004	unweighted	1170	1170
1083	hybC	2.4886650949210605	0.024	unweighted	1167	1167
1084	sapB	5.262392205944347	0.001	unweighted	1175	1175
1085	yhcN_2	8.344676604468912	0.001	unweighted	1200	1200
1086	msyB	4.054475295330247	0.001	unweighted	1174	1174
1087	pcnB	4.096789333809264	0.001	unweighted	1165	1165
1088	ftsY	3.699717412301664	0.002	unweighted	1175	1175
1089	rplV	4.0511109640017295	0.004	unweighted	1180	1180
1090	cpdA	2.586421717397626	0.02	unweighted	1159	1159
1091	rihA	3.535733448837603	0.003	unweighted	1165	1165
1092	yhfS	2.886667387160886	0.012	unweighted	1173	1173
1093	yqjD_1	3.335235608653128	0.003	unweighted	1205	1205
1094	thyA	4.306619877529607	0.002	unweighted	1173	1173
1095	ydcY	5.023815720103358	0.002	unweighted	1163	1163
1096	livJ	2.781151458242002	0.011	unweighted	1170	1170
1097	glgP	2.355944959105236	0.025	unweighted	1161	1161
1098	fecB	2.2336032946059916	0.039	unweighted	1173	1173
1099	helD	3.3028632730106615	0.004	unweighted	1165	1165
1100	yiaY	2.85935745250549	0.015	unweighted	1170	1170
1101	tfaE_1	4.132648512060998	0.001	unweighted	1200	1200
1102	ygjG	3.2659395180372375	0.003	unweighted	1182	1182
1103	infB	2.971859065750141	0.012	unweighted	1157	1157
1104	yjhG	3.4587926902503874	0.004	unweighted	1160	1160
1105	sfsA	3.515218534294037	0.007	unweighted	1184	1184
1106	ygcN	4.66965674160876	0.001	unweighted	1179	1179
1107	dmlR	2.5611602630985155	0.02	unweighted	1171	1171
1108	sucC_2	2.6980658407481743	0.004	unweighted	1211	1211
1109	ppc	3.0328794675589297	0.008	unweighted	1150	1150
1110	htrE	8.45841857648329	0.001	unweighted	1140	1140
1111	rplB	3.344228056672733	0.008	unweighted	1173	1173
1112	wcaF	2.7874874264510914	0.023	unweighted	1157	1157
1113	recQ	2.8328835790463165	0.019	unweighted	1159	1159
1114	hypE	3.843293448952496	0.002	unweighted	1168	1168
1115	luxS	4.197465165455011	0.002	unweighted	1162	1162
1116	crcB	3.813778485196466	0.004	unweighted	1169	1169
1117	yaiW	3.3687061933590146	0.006	unweighted	1165	1165
1118	panF	2.2354756022005895	0.048	unweighted	1153	1153
1119	rtcB_2	7.459102472858651	0.001	unweighted	1205	1205
1120	agaD_2	2.926522538494206	0.013	unweighted	1206	1206
1121	wcaL	2.114753400191071	0.057	unweighted	1169	1169
1122	ynbD	5.073789040121835	0.001	unweighted	1122	1122
1123	yedW_5	5.154999600199773	0.001	unweighted	1212	1212
1124	intZ	3.937918684910544	0.001	unweighted	1157	1157
1125	mutH	3.6371837982304887	0.008	unweighted	1181	1181
1126	glnS	3.1700868298442226	0.007	unweighted	1166	1166
1127	ydcS	4.794468067296239	0.001	unweighted	1157	1157
1128	yedY	4.096478644964361	0.003	unweighted	1166	1166
1129	sdsQ	3.7286541183242448	0.004	unweighted	1166	1166
1130	yhhW	3.2337153379672565	0.005	unweighted	1162	1162
1131	galS	3.3103029154109347	0.002	unweighted	1170	1170
1132	gmr	4.274634448554296	0.003	unweighted	1154	1154
1133	dgoK_2	11.58737466497731	0.001	unweighted	1210	1210
1134	yjfC	2.5794772677118787	0.025	unweighted	1164	1164
1135	bhsA_1	4.08729315398117	0.001	unweighted	1206	1206
1136	yfjI_1	3.8599920934291023	0.002	unweighted	1199	1199
1137	sdaC	3.5484372233691595	0.005	unweighted	1182	1182
1138	tilS	3.8731883455431473	0.003	unweighted	1177	1177
1139	yfaV	3.2943590416006843	0.005	unweighted	1159	1159
1140	yghR	2.2702853662347082	0.046	unweighted	1164	1164
1141	fixA	2.8475085651100707	0.017	unweighted	1158	1158
1142	thiF	2.6553923096940526	0.02	unweighted	1168	1168
1143	garP	2.23888903144745	0.047	unweighted	1157	1157
1144	lplT	3.671785599140231	0.003	unweighted	1158	1158
1145	dbpA	4.409565838446359	0.001	unweighted	1138	1138
1146	cmtB	3.2776826077432712	0.006	unweighted	1169	1169
1147	fhuA_2	3.797500564566786	0.001	unweighted	1212	1212
1148	yijE	3.335137216126204	0.006	unweighted	1161	1161
1149	ruvA	4.016014466360559	0.003	unweighted	1162	1162
1150	nuoJ	2.9767330593361336	0.011	unweighted	1159	1159
1151	yicL	2.6052045732421787	0.024	unweighted	1178	1178
1152	yidK	2.860352680679626	0.009	unweighted	1173	1173
1153	ppiC	3.8580079393090374	0.005	unweighted	1173	1173
1154	hofO	3.847564341785545	0.003	unweighted	1181	1181
1155	deaD	2.3866999862180602	0.035	unweighted	1171	1171
1156	greB	3.060851081217991	0.012	unweighted	1170	1170
1157	upaG	4.0908715811795675	0.001	unweighted	1127	1127
1158	rrrQ	3.9213090249605926	0.003	unweighted	1177	1177
1159	gapA_2	5.767914220665234	0.001	unweighted	1206	1206
1160	fimZ_2	2.8737935139543365	0.001	unweighted	1211	1211
1161	atpF	2.9544226098850097	0.008	unweighted	1183	1183
1162	bcsG	3.432582634894096	0.005	unweighted	1163	1163
1163	rffT	3.29307620719419	0.006	unweighted	1180	1180
1164	yggP_2	3.7743301395766795	0.002	unweighted	1205	1205
1165	ebgA	2.2809300034872995	0.047	unweighted	1169	1169
1166	mdtJ	3.971510633884393	0.003	unweighted	1173	1173
1167	ansA	3.9899700555807605	0.004	unweighted	1176	1176
1168	eutT	2.7221184271841192	0.021	unweighted	1171	1171
1169	yaeF	3.443402337291312	0.003	unweighted	1181	1181
1170	metG	3.5087780869293446	0.004	unweighted	1157	1157
1171	qseE	2.5403819379948156	0.013	unweighted	1158	1158
1172	btuF_3	7.174894314466695	0.001	unweighted	1079	1079
1173	suhB	2.7396899499677603	0.018	unweighted	1152	1152
1174	rimM	5.332417034702178	0.001	unweighted	1174	1174
1175	cheW	4.082437026787476	0.004	unweighted	1162	1162
1176	uhpB	3.2632994621163425	0.006	unweighted	1158	1158
1177	lyxK	3.233350955206834	0.003	unweighted	1178	1178
1178	alaC	3.0776203971304534	0.008	unweighted	1157	1157
1179	fumC	3.8669671111672836	0.001	unweighted	1168	1168
1180	fliT	3.8179735463821203	0.002	unweighted	1170	1170
1181	thiL	3.364754271192769	0.009	unweighted	1164	1164
1182	speA	3.922973669890546	0.001	unweighted	1172	1172
1183	fucA_1	5.689793607024098	0.001	unweighted	1202	1202
1184	glyS	3.4646092346799615	0.003	unweighted	1156	1156
1185	yjjX	2.936946091707471	0.014	unweighted	1175	1175
1186	yeeW_5	4.691430750119486	0.001	unweighted	1158	1158
1187	gutM	4.512262999376199	0.002	unweighted	1177	1177
1188	araD	2.982891495231232	0.017	unweighted	1175	1175
1189	yehB	3.0631377850812327	0.005	unweighted	1172	1172
1190	yijO	3.475480216358573	0.005	unweighted	1165	1165
1191	yidA	3.8557444236483063	0.002	unweighted	1184	1184
1192	ydhO	3.6939552705869825	0.003	unweighted	1173	1173
1193	artQ	3.7642412134419314	0.002	unweighted	1146	1146
1194	pgi	2.2981188582475216	0.029	unweighted	1160	1160
1195	fruB_2	3.210946502154218	0.008	unweighted	1205	1205
1196	bsmA	3.2421925714367585	0.008	unweighted	1170	1170
1197	trmL	3.2963349123949857	0.007	unweighted	1162	1162
1198	cusC_2	5.908668961429064	0.001	unweighted	1210	1210
1199	xanP	2.6574874052289883	0.021	unweighted	1154	1154
1200	yhjB	2.4077876525620954	0.03	unweighted	1150	1150
1201	ppnN	3.5582056844406633	0.001	unweighted	1185	1185
1202	ccmD	3.0375221425145478	0.008	unweighted	1175	1175
1203	yceB	3.708589403162239	0.002	unweighted	1174	1174
1204	yeeJ_1	3.809721998266052	0.001	unweighted	1191	1191
1205	hofQ	3.315043992295446	0.01	unweighted	1167	1167
1206	alsE	3.172532529660585	0.009	unweighted	1174	1174
1207	fabI	5.198137610664702	0.001	unweighted	1171	1171
1208	flgN	3.924864939411214	0.003	unweighted	1178	1178
1209	yiaO_1	3.8613018078632826	0.002	unweighted	1210	1210
1210	udp	2.9340523815837902	0.015	unweighted	1175	1175
1211	eutJ	3.179896271410766	0.013	unweighted	1181	1181
1212	tatD	2.9523314064232795	0.02	unweighted	1173	1173
1213	lspA	3.206734896872643	0.009	unweighted	1167	1167
1214	narX	5.489475749935426	0.001	unweighted	1162	1162
1215	ybhL_1	3.51971324595328	0.002	unweighted	1200	1200
1216	fabH_1	5.714219356454545	0.001	unweighted	1202	1202
1217	insN-1_6	4.531137504594277	0.001	unweighted	1109	1109
1218	ilvA	4.127357030679578	0.004	unweighted	1178	1178
1219	ulaD	3.214045292048538	0.009	unweighted	1166	1166
1220	yjcE	3.4934681747997764	0.002	unweighted	1162	1162
1221	cadC	2.6354232214122257	0.032	unweighted	1172	1172
1222	fruA_1	2.913266848301703	0.001	unweighted	1204	1204
1223	fimF_1	3.9304621298935314	0.001	unweighted	1203	1203
1224	thrC	3.5884561831065622	0.005	unweighted	1164	1164
1225	yhjV	3.4775899242312813	0.003	unweighted	1167	1167
1226	uxuA	2.757337863889022	0.026	unweighted	1181	1181
1227	sseB	2.333964398439801	0.04	unweighted	1153	1153
1228	yhdX	2.632837522125313	0.018	unweighted	1167	1167
1229	pgsA	3.886740591689081	0.006	unweighted	1173	1173
1230	ydfU	4.552105300091526	0.001	unweighted	1170	1170
1231	rhlE_2	4.824659119990306	0.001	unweighted	1211	1211
1232	glpD	2.4694996608764326	0.034	unweighted	1162	1162
1233	cpsG_1	2.564863611332722	0.002	unweighted	1204	1204
1234	maeA	3.2473221968546047	0.005	unweighted	1170	1170
1235	secE	3.214026507427693	0.006	unweighted	1170	1170
1236	yghF	2.641132419959994	0.022	unweighted	1159	1159
1237	rnd	3.3788287672101744	0.01	unweighted	1164	1164
1238	bcr_2	5.7403371100842335	0.001	unweighted	1209	1209
1239	nusB	4.181221464528402	0.004	unweighted	1173	1173
1240	ppnP	2.8701249281424563	0.018	unweighted	1163	1163
1241	adiY	3.7869790560776795	0.004	unweighted	1185	1185
1242	dapB	3.6442659585650232	0.005	unweighted	1167	1167
1243	rluE	4.009623454674687	0.001	unweighted	1164	1164
1244	astB	2.992706691802191	0.008	unweighted	1168	1168
1245	fxsA	3.356975937605546	0.004	unweighted	1173	1173
1246	ybbB	3.718669537811925	0.006	unweighted	1157	1157
1247	dgoD	3.2862497522204093	0.005	unweighted	1172	1172
1248	fliJ	3.5141398913829307	0.003	unweighted	1172	1172
1249	yaeR	4.159611485998551	0.003	unweighted	1183	1183
1250	tomB	4.338950421027172	0.001	unweighted	1173	1173
1251	flgD	4.303123820058327	0.001	unweighted	1167	1167
1252	pabC	3.524802020871206	0.002	unweighted	1172	1172
1253	yahJ	3.033264032149406	0.006	unweighted	1165	1165
1254	nikR	2.773739565016913	0.017	unweighted	1169	1169
1255	pykA	2.875788814667183	0.012	unweighted	1154	1154
1256	sbcD	3.805994466879615	0.001	unweighted	1160	1160
1257	allE	3.5387751020818463	0.003	unweighted	1178	1178
1258	alkB	3.3660590483812323	0.005	unweighted	1161	1161
1259	tabA_4	6.497252652159451	0.001	unweighted	1198	1198
1260	rsmB	3.952122560932991	0.003	unweighted	1168	1168
1261	xerD	3.717139321157674	0.004	unweighted	1162	1162
1262	ybaT	3.581148176535324	0.009	unweighted	1162	1162
1263	fbaB	2.8803760944310315	0.007	unweighted	1168	1168
1264	comEC	3.9917115742931357	0.003	unweighted	1171	1171
1265	hokC	2.7779949797630343	0.022	unweighted	1175	1175
1266	gatC_2	3.8352410276800946	0.002	unweighted	1205	1205
1267	paaF_2	3.8752637217245898	0.002	unweighted	1210	1210
1268	hutX	3.4452422775317024	0.008	unweighted	1175	1175
1269	rusA_1	5.4616326196515494	0.001	unweighted	1208	1208
1270	holD	3.1150428692145127	0.009	unweighted	1175	1175
1271	glmU_2	10.719730620405851	0.001	unweighted	1117	1117
1272	serA	3.750730685621022	0.003	unweighted	1168	1168
1273	cbtA_4	9.501086510855144	0.001	unweighted	1102	1102
1274	aspS	3.2885525801498394	0.009	unweighted	1169	1169
1275	yebC	3.6353807792003128	0.002	unweighted	1163	1163
1276	ubiF	3.4381970259900636	0.007	unweighted	1157	1157
1277	hemS	2.385226349454114	0.03	unweighted	1162	1162
1278	yibD_1	7.368465267370752	0.001	unweighted	1211	1211
1279	mepA_2	3.77729502879482	0.002	unweighted	1212	1212
1280	srlR_1	4.20664598207243	0.001	unweighted	1206	1206
1281	hisB	3.216144655566924	0.005	unweighted	1162	1162
1282	yfbT	3.014488840591855	0.011	unweighted	1174	1174
1283	fepG	4.253336134201353	0.001	unweighted	1157	1157
1284	rlmH	3.68989453055224	0.003	unweighted	1162	1162
1285	cydB	2.8307907776036414	0.009	unweighted	1170	1170
1286	yiiM	2.607716432131736	0.024	unweighted	1178	1178
1287	hrpB	4.202900485262856	0.003	unweighted	1167	1167
1288	mchI	2.7418576789949327	0.022	unweighted	1146	1146
1289	yhgN	2.8809488645134915	0.011	unweighted	1177	1177
1290	ydjX_2	4.134346298119107	0.002	unweighted	1205	1205
1291	hemY	2.8556501915942634	0.021	unweighted	1167	1167
1292	yeeN	3.5973182978447307	0.005	unweighted	1169	1169
1293	murR_2	4.227343075137063	0.003	unweighted	1211	1211
1294	kbaY_5	4.984500331315967	0.001	unweighted	1199	1199
1295	lrhA	3.078517867157349	0.01	unweighted	1151	1151
1296	yjcC_2	4.501966284850351	0.001	unweighted	1211	1211
1297	btuB_1	5.046430247829552	0.001	unweighted	1205	1205
1298	pfkA	2.6420326627306503	0.02	unweighted	1166	1166
1299	hisH	3.129985588106667	0.006	unweighted	1168	1168
1300	yfeY	2.9154183643476586	0.01	unweighted	1176	1176
1301	nohB	2.96259284638554	0.015	unweighted	1170	1170
1302	rlmB	3.5233322732348937	0.005	unweighted	1162	1162
1303	rcsD	3.0565068186266116	0.005	unweighted	1153	1153
1304	smtA	3.798967149169076	0.002	unweighted	1177	1177
1305	bluR	4.298901893088138	0.001	unweighted	1149	1149
1306	dgoA_2	12.122438360580608	0.001	unweighted	1210	1210
1307	dsdA	3.2697869742564505	0.005	unweighted	1164	1164
1308	emtA	4.118884444737281	0.001	unweighted	1170	1170
1309	rsmH	3.458876260315997	0.011	unweighted	1164	1164
1310	ymdC	4.35996974341806	0.002	unweighted	1157	1157
1311	relB	0.9463064036025418	0.478	unweighted	1156	1156
1312	ycfT	4.5764853675853585	0.002	unweighted	1171	1171
1313	cytR_2	5.095068228458872	0.001	unweighted	1211	1211
1314	yeeZ	2.8220562278052967	0.013	unweighted	1181	1181
1315	besA	2.9997389981079223	0.013	unweighted	1150	1150
1316	ubiX	2.9828778737766775	0.011	unweighted	1166	1166
1317	cutC	3.7081129196428257	0.001	unweighted	1174	1174
1318	tesA	4.429737009287372	0.001	unweighted	1175	1175
1319	pgpC	2.636693095556274	0.015	unweighted	1172	1172
1320	phnE	3.1771335510666043	0.006	unweighted	1172	1172
1321	cvaA	3.7938780368797156	0.003	unweighted	1148	1148
1322	ykgM	3.6481719377808615	0.008	unweighted	1158	1158
1323	gltK	3.3552602574227746	0.006	unweighted	1153	1153
1324	prmB	2.8152161552699035	0.014	unweighted	1156	1156
1325	emrB_2	2.8000801922343466	0.005	unweighted	1210	1210
1326	truA	3.568390144944774	0.004	unweighted	1153	1153
1327	nadC_2	4.22581972317056	0.001	unweighted	1210	1210
1328	frmB	2.759207160896007	0.018	unweighted	1174	1174
1329	osmY	2.626545910473061	0.023	unweighted	1165	1165
1330	kefB	3.050515033441441	0.011	unweighted	1170	1170
1331	gstA	4.389413740004546	0.003	unweighted	1159	1159
1332	bluF	5.387101246940268	0.001	unweighted	1150	1150
1333	nanS_2	7.233807621303982	0.001	unweighted	1202	1202
1334	ybhC	3.0335011582331006	0.014	unweighted	1174	1174
1335	mpaA_1	5.625857407356798	0.001	unweighted	1205	1205
1336	dtnK_1	4.468394230918248	0.002	unweighted	1205	1205
1337	fimB_3	6.463771328741091	0.001	unweighted	1200	1200
1338	ychN	5.506102596577486	0.001	unweighted	1183	1183
1339	entB	4.335824242662554	0.002	unweighted	1170	1170
1340	yncG	5.094946120325476	0.001	unweighted	1153	1153
1341	acnA	6.216705711750139	0.001	unweighted	1165	1165
1342	cedA	3.775302058517986	0.002	unweighted	1173	1173
1343	dgkA	3.6008029869890255	0.005	unweighted	1169	1169
1344	yafP	3.638637677984867	0.003	unweighted	1174	1174
1345	dkgB	2.5781141441284996	0.024	unweighted	1162	1162
1346	oxc	3.124127306313896	0.014	unweighted	1157	1157
