	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags
1__0_partial_1-cat_1_15	final-viral-combined-for-dramv	1__0_partial_1-cat_1	15	13830	14408	-1	D			YP_009909502.1	YP_009909502.1 Phage Ne1 neck protein [Escherichia virus Lambda_1H12]	False	0.872	350.0	9.288e-110								Prophage minor tail protein Z (GPZ) [PF06763.14]			VOG00332	sp|O64325|COMPL_BPN15 Tail completion protein; XhXs	Xs;Xh	0	0	1	False	V
1__0_partial_1-cat_1_16	final-viral-combined-for-dramv	1__0_partial_1-cat_1	16	14420	14773	-1	D			YP_009909717.1	YP_009909717.1 Phage Hc1 head completion protein [Escherichia phage 2H10]	False	0.97	241.0	1.297e-73								Phage Head-Tail Attachment [PF05354.14]			VOG01676	sp|O64324|FII_BPN15 Head-tail joining protein; XhXs	Xs;Xh	0	2	1	False	V
1__0_partial_1-cat_1_17	final-viral-combined-for-dramv	1__0_partial_1-cat_1	17	14785	15180	-1	D			YP_009909500.1	YP_009909500.1 Phage DNA-packaging protein [Escherichia virus Lambda_1H12]	False	0.83	226.0	4.155e-68								DNA packaging protein FI [PF14000.9]			VOG18578	sp|P03709|FI_LAMBD DNA-packaging protein FI; Xr	Xr	0	0	1	False	V
1__0_partial_1-cat_1_18	final-viral-combined-for-dramv	1__0_partial_1-cat_1	18	15222	16247	-1	D			YP_009909715.1	YP_009909715.1 Phage major capsid protein [Escherichia phage 2H10]	True	0.92	658.0	1.61e-213								Phage major capsid protein E [PF03864.18]			VOG00652	sp|D6RRG1|CAPSD_BPKPP Major capsid protein; XhXs	Xs;Xh	0	0	1	False	V
1__0_partial_1-cat_1_19	final-viral-combined-for-dramv	1__0_partial_1-cat_1	19	16303	16635	-1	E			YP_009909498.1	YP_009909498.1 Head decoration protein [Escherichia virus Lambda_1H12]	False	0.899	209.0	2.265e-62											VOG01616	sp|O64321|DECO7_BPN15 Putative decoration protein; XhXs	Xs;Xh	0	0	1	False	V
1__0_partial_1-cat_1_20	final-viral-combined-for-dramv	1__0_partial_1-cat_1	20	16645	17976	-1	C	K21511	capsid assembly protease [EC:3.4.21.-]	YP_009909713.1	YP_009909713.1 Phage capsid and scaffold [Escherichia phage 2H10]	True	0.876	799.0	1.897e-260	MER0320695	S49B	MER0320695 - protein C (bacteriophage lambda) (Escherichia sp. TW09308) [S49.003]#S49B#{peptidase unit: 114-307}~source ZP_09460403~	True	0.921	376.0	1.518e-113	Peptidase family S49 [PF01343.21]; Clp protease [PF00574.26]			VOG08043	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xs;Xh	0	0	1	False	VP
1__0_partial_1-cat_1_21	final-viral-combined-for-dramv	1__0_partial_1-cat_1	21	17957	19558	-1	D			YP_009909496.1	YP_009909496.1 Phage portal protein [Escherichia virus Lambda_1H12]	True	0.968	1088.0	0.0								Phage portal protein, lambda family [PF05136.16]			VOG00820	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xs;Xp;Xr	0	0	1	False	V
1__0_partial_1-cat_1_22	final-viral-combined-for-dramv	1__0_partial_1-cat_1	22	19555	19761	-1	D			YP_009909495.1	YP_009909495.1 Phage Ad1 adapter protein(lambda gpW-like) [Escherichia virus Lambda_1H12]	False	0.924	134.0	2.646e-37								gpW [PF02831.18]			VOG12537	sp|P68659|VHTJ_ECOL6 Lambda prophage-derived head-to-tail joining protein W; Xu	Xu	0	0	1	False	
1__0_partial_1-cat_1_23	final-viral-combined-for-dramv	1__0_partial_1-cat_1	23	19758	21683	-1	C	K21512	terminase, large subunit [EC:3.1.21.4]	YP_009909494.1	YP_009909494.1 Phage terminase, large subunit [Escherichia virus Lambda_1H12]	True	1.0	1357.0	0.0								Terminase large subunit gpA, endonuclease domain [PF20454.1]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]			VOG14491	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	0	1	False	
1__0_partial_1-cat_1_24	final-viral-combined-for-dramv	1__0_partial_1-cat_1	24	21658	22203	-1	C	K22014	terminase small subunit / prophage DNA-packing protein	YP_009909709.1	YP_009909709.1 Terminase small subunit [Escherichia phage 2H10]	True	0.927	353.0	3.23e-111								Phage DNA packaging protein Nu1 [PF07471.15]			VOG00236	sp|P03707|TERS_LAMBD Terminase small subunit; XhXr	Xh;Xr	0	1	1	False	V
1__0_partial_1-cat_1_25	final-viral-combined-for-dramv	1__0_partial_1-cat_1	25	22680	23033	1	E																						0	2	1	False	
1__0_partial_1-cat_1_26	final-viral-combined-for-dramv	1__0_partial_1-cat_1	26	23156	23482	-1	C	K03832	periplasmic protein TonB														Gram-negative bacterial TonB protein C-terminal [PF03544.17]			VOG19771	sp|P45610|TONB_KLEPN Protein TonB; Xh	Xh	0	2	1	False	
1__0_partial_1-cat_1_27	final-viral-combined-for-dramv	1__0_partial_1-cat_1	27	23963	24256	1	D			YP_009909562.1	YP_009909562.1 Bor protein precursor [Escherichia virus Lambda_1H12]	False	0.957	198.0	8.381999999999999e-59								Bor protein [PF06291.14]			VOG06369	sp|P19592|ISS_ECOLX Protein iss; Xh	Xh	0	2	1	False	
1__0_partial_1-cat_1_28	final-viral-combined-for-dramv	1__0_partial_1-cat_1	28	24396	24749	-1	C	K14744	prophage endopeptidase [EC:3.4.-.-]	YP_009909561.1	YP_009909561.1 Rz endopeptidase from lambdoid phage [Escherichia virus Lambda_1H12]	False	0.877	216.0	1.076e-64								Bacteriophage Rz lysis protein [PF03245.16]			VOG00611	sp|P10305|SPAN1_BPT3 Spanin, inner membrane subunit; XhXp	Xp;Xh	0	1	1	False	
1__0_partial_1-cat_1_29	final-viral-combined-for-dramv	1__0_partial_1-cat_1	29	24746	25279	-1	C	K01185	lysozyme [EC:3.2.1.17]	YP_009909760.1	YP_009909760.1 Phage lysin, 1,4-beta-N-acetylmuramidase (EC or lysozyme [Escherichia phage 2H10]	True	0.964	361.0	4.852e-114								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)				0	1	1	False	A
1__0_partial_1-cat_1_30	final-viral-combined-for-dramv	1__0_partial_1-cat_1	30	25414	25653	1	E																						0	2	1	False	
1__0_partial_1-cat_1_31	final-viral-combined-for-dramv	1__0_partial_1-cat_1	31	25650	25964	-1	D			YP_009909759.1	YP_009909759.1 FIG00638659: hypothetical protein [Escherichia phage 2H10]	False	0.904	161.0	6.9510000000000015e-46								Protein of unknown function (DUF1327) [PF07041.14]			VOG03737	sp|P76160|YDFR_ECOLI Uncharacterized protein YdfR; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_32	final-viral-combined-for-dramv	1__0_partial_1-cat_1	32	25969	26184	-1	D			YP_009909559.1	YP_009909559.1 Phage holin, lysis protein S [Escherichia virus Lambda_1H12]	False	0.918	139.0	6.877e-39								Bacteriophage P21 holin S [PF04971.15]			VOG00217	sp|Q6XQ99|HOLIN_BPT1 Holin; XhXp	Xp;Xh	0	1	1	False	
1__0_partial_1-cat_1_33	final-viral-combined-for-dramv	1__0_partial_1-cat_1	33	26774	27856	1	C	K16076	outer membrane porin protein LC														Gram-negative porin [PF00267.24]; Gram-negative porin [PF13609.9]			VOG12617	sp|D0ZXQ1|OMPD_SALT1 Outer membrane porin protein OmpD; Xh	Xh	0	2	1	False	
1__0_partial_1-cat_1_34	final-viral-combined-for-dramv	1__0_partial_1-cat_1	34	28045	28428	-1	D			YP_009909555.1	YP_009909555.1 Antitermination protein Q [Escherichia virus Lambda_1H12]	False	0.896	226.0	3.433e-68								Phage antitermination protein Q [PF06530.15]			VOG01405	sp|O48429|REGQ_BPH19 Antitermination protein Q; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_35	final-viral-combined-for-dramv	1__0_partial_1-cat_1	35	28514	28651	-1	E			YP_009909554.1	YP_009909554.1 Uncharacterized protein YlcG [Escherichia virus Lambda_1H12]	False	0.927	90.0	2.162e-22											VOG18713	sp|Q37874|YLCG_BP82 Uncharacterized protein in rusA 3'region; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_36	final-viral-combined-for-dramv	1__0_partial_1-cat_1	36	28651	29013	-1	C	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.21.10]	YP_009909553.1	YP_009909553.1 Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC [Escherichia virus Lambda_1H12]	False	0.979	250.0	1.438e-76								Endodeoxyribonuclease RusA [PF05866.14]			VOG01430	sp|Q9MCN8|RUSA_BPHK7 Crossover junction endodeoxyribonuclease rusA; Xr	Xr	0	1	1	False	V
1__0_partial_1-cat_1_37	final-viral-combined-for-dramv	1__0_partial_1-cat_1	37	29010	29300	-1	D			YP_007518380.1	YP_007518380.1 protein of unknown function (DUF1364) [Vibrio phage VvAW1]	False	0.381	63.0	8.179e-12								Putative nuclease YbcO [PF07102.15]; Protein of unknown function (DUF968) [PF06147.14]			VOG00561	sp|P68661|YBCO_ECOLI Putative nuclease YbcO; Xu	Xu	1	1	1	False	
1__0_partial_1-cat_1_38	final-viral-combined-for-dramv	1__0_partial_1-cat_1	38	29293	29463	-1	D																NINE Protein [PF05322.14]			VOG06770	sp|P03768|NINE_LAMBD Protein ninE; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_39	final-viral-combined-for-dramv	1__0_partial_1-cat_1	39	29463	29918	-1	D			YP_010052916.1	YP_010052916.1 hypothetical protein KE335_gp29 [Aeromonas phage 2_D05]	False	0.49	122.0	1.578e-31								NinB protein [PF05772.15]			VOG00751	sp|P03765|NINB_LAMBD Protein ninB; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_40	final-viral-combined-for-dramv	1__0_partial_1-cat_1	40	30312	30590	-1	E																						0	2	1	False	
1__0_partial_1-cat_1_41	final-viral-combined-for-dramv	1__0_partial_1-cat_1	41	30625	30891	1	E																						0	2	1	False	
1__0_partial_1-cat_1_42	final-viral-combined-for-dramv	1__0_partial_1-cat_1	42	30846	31598	-1	E																						0	2	1	False	
1__0_partial_1-cat_1_43	final-viral-combined-for-dramv	1__0_partial_1-cat_1	43	31887	32180	-1	E			YP_009909547.1	YP_009909547.1 Ren protein [Escherichia virus Lambda_1H12]	False	0.832	162.0	1.922e-46											VOG00467	sp|P03761|VREN_LAMBD Protein ren; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_44	final-viral-combined-for-dramv	1__0_partial_1-cat_1	44	32177	32878	-1	D			YP_009909546.1	YP_009909546.1 Host replicative helicase loader Lambda_P [Escherichia virus Lambda_1H12]	True	0.941	462.0	8.087999999999999e-148								Replication protein P [PF06992.14]			VOG09537	sp|P03689|VRPP_LAMBD Replication protein P; Xr	Xr	0	1	1	False	V
1__0_partial_1-cat_1_45	final-viral-combined-for-dramv	1__0_partial_1-cat_1	45	32875	33879	-1	D			YP_009909545.1	YP_009909545.1 Replication protein O [Escherichia virus Lambda_1H12]	True	0.663	407.0	5.915e-127								Bacteriophage replication protein O [PF04492.16]			VOG02062	REFSEQ helix-turn-helix domain-containing protein; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_46	final-viral-combined-for-dramv	1__0_partial_1-cat_1	46	33891	34430	-1	D																Putative bacterial toxin ydaT [PF06254.14]			VOG03777	REFSEQ hypothetical protein; Xu	Xu	0	1	1	False	
1__0_partial_1-cat_1_47	final-viral-combined-for-dramv	1__0_partial_1-cat_1	47	34461	34688	-1	D																Putative antitoxin of bacterial toxin-antitoxin system, YdaS/YdaT [PF15943.8]; DNA-binding transcriptional regulator Cro [PF14549.9]			VOG00074	sp|P03040|RCRO_LAMBD Regulatory protein cro; XhXp	Xp;Xh	0	1	1	False	
1__0_partial_1-cat_1_48	final-viral-combined-for-dramv	1__0_partial_1-cat_1	48	35006	35491	1	D			YP_001700549.1	YP_001700549.1 putative transcriptional regulator (repressor) [Salmonella phage Fels-1]	False	0.536	156.0	5.591e-43	MER0151177	S24	MER0151177 - family S24 unassigned peptidases (Escherichia fergusonii) [S24.UPW]#S24#{peptidase unit: 105-240}~source CAQ90217~	False	0.978	283.0	1.5500000000000001e-86	Peptidase S24-like [PF00717.26]			VOG02658	sp|P03034|RPC1_LAMBD Repressor protein cI; Xp	Xp	0	1	1	False	P
1__0_partial_1-cat_1_49	final-viral-combined-for-dramv	1__0_partial_1-cat_1	49	35573	36046	1	E																			VOG20807	REFSEQ hypothetical protein; Xu	Xu	0	2	1	False	
1__0_partial_1-cat_1_50	final-viral-combined-for-dramv	1__0_partial_1-cat_1	50	36043	36975	1	E																			VOG20919	REFSEQ hypothetical protein; Xu	Xu	0	2	1	False	
1__0_partial_1-cat_1_51	final-viral-combined-for-dramv	1__0_partial_1-cat_1	51	37457	37663	1	E																			VOG10759	sp|P38393|KILR_ECOLI Killing protein KilR; Xh	Xh	0	1	1	False	
1__0_partial_1-cat_1_52	final-viral-combined-for-dramv	1__0_partial_1-cat_1	52	37739	38035	1	D			YP_009909535.1	YP_009909535.1 Gam, host exonuclease V inhibitor [Escherichia virus Lambda_1H12]	False	0.945	197.0	1.657e-58								Host-nuclease inhibitor protein Gam [PF06064.14]			VOG04808	sp|P03702|GAM_LAMBD Host-nuclease inhibitor protein gam; Xp	Xp	0	2	1	False	F
1__0_partial_1-cat_1_53	final-viral-combined-for-dramv	1__0_partial_1-cat_1	53	38041	38826	1	D			YP_009909534.1	YP_009909534.1 RecT annealase [Escherichia virus Lambda_1H12]	True	0.96	529.0	1.595e-170								RecT family [PF03837.17]			VOG02739	sp|P03698|VBET_LAMBD Recombination protein bet; Xr	Xr	0	1	1	False	VF
1__0_partial_1-cat_1_54	final-viral-combined-for-dramv	1__0_partial_1-cat_1	54	38823	39503	1	C	K01143	exodeoxyribonuclease (lambda-induced) [EC:3.1.11.3]	YP_009909533.1	YP_009909533.1 Phage exonuclease (EC; Putative phage-encoded enzyme involved in integration-recombination [Escherichia virus Lambda_1H12]	True	0.991	475.0	1.756e-152								YqaJ-like viral recombinase domain [PF09588.13]; Viral alkaline exonuclease [PF01771.20]						0	0	2	False	F
1__0_partial_1-cat_1_55	final-viral-combined-for-dramv	1__0_partial_1-cat_1	55	39500	39658	1	D			YP_009909532.1	YP_009909532.1 Phage protein [Escherichia virus Lambda_1H12]	False	0.899	100.0	8.106e-26								Protein of unknown function (DUF1317) [PF07026.14]			VOG24086	REFSEQ DUF1317 domain-containing protein; Xu	Xu	0	1	2	False	F
1__0_partial_1-cat_1_56	final-viral-combined-for-dramv	1__0_partial_1-cat_1	56	39655	40407	1	E			YP_004782407.1	YP_004782407.1 hypothetical protein SaPh711_gp032 [Salmonella phage 7-11]	False	0.363	119.0	9.174999999999999e-29											VOG00950	sp|Q8QL48|Y306_SIRV1 Uncharacterized protein 306; Xu	Xu	0	1	2	False	F
1__0_partial_1-cat_1_57	final-viral-combined-for-dramv	1__0_partial_1-cat_1	57	40415	40630	1	E			YP_009909530.1	YP_009909530.1 Phage protein [Escherichia virus Lambda_1H12]	False	0.88	132.0	1.092e-36											VOG00848	REFSEQ hypothetical protein; Xu	Xu	0	1	2	False	F
1__0_partial_1-cat_1_58	final-viral-combined-for-dramv	1__0_partial_1-cat_1	58	40729	40947	1	D			YP_009909528.1	YP_009909528.1 Hypothetical Zinc-finger containing protein [Escherichia virus Lambda_1H12]	False	0.977	151.0	5.418e-43								Prokaryotic dksA/traR C4-type zinc finger [PF01258.20]						0	1	2	False	F
1__0_partial_1-cat_1_59	final-viral-combined-for-dramv	1__0_partial_1-cat_1	59	40995	41234	1	D			YP_009909527.1	YP_009909527.1 FIG00639352: hypothetical protein [Escherichia virus Lambda_1H12]	False	0.933	77.0	4.215e-17								Domain of unknown function (DUF4222) [PF13973.9]			VOG03785	REFSEQ DUF4222 domain-containing protein; Xu	Xu	0	2	2	False	F
1__0_partial_1-cat_1_60	final-viral-combined-for-dramv	1__0_partial_1-cat_1	60	41374	41610	1	D			YP_009909526.1	YP_009909526.1 Excisionase [Escherichia virus Lambda_1H12]	False	0.991	166.0	4.376e-48								Excisionase-like protein [PF07825.14]			VOG10859	sp|P27079|VXIS_BPP21 Excisionase; Xr	Xr	0	1	2	False	VF
1__0_partial_1-cat_1_61	final-viral-combined-for-dramv	1__0_partial_1-cat_1	61	41600	42742	1	D			YP_009909525.1	YP_009909525.1 Prophage lambda integrase [Escherichia virus Lambda_1H12]	True	0.965	774.0	5.825e-253								Bacteriophage lambda integrase, Arm DNA-binding domain [PF09003.13]; Phage integrase family [PF00589.25]			VOG00013	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	1	5	False	VF
1__1_partial_1-cat_1_1	final-viral-combined-for-dramv	1__1_partial_1-cat_1	1	237	455	-1	D			YP_001718717.1	YP_001718717.1 P2 gpOgr-like protein (acttivation of late gene expression) [Salmonella virus Fels2]	False	0.68	100.0	1.62e-25								Ogr/Delta-like zinc finger [PF04606.15]			VOG20059	sp|P08711|VPB_BP186 Late control gene B protein; Xh	Xh	0	1	5	False	F
1__1_partial_1-cat_1_2	final-viral-combined-for-dramv	1__1_partial_1-cat_1	2	546	1646	-1	C	K06905	uncharacterized protein	YP_001718718.1	YP_001718718.1 P2 gpD-like tail protein [Salmonella virus Fels2]	True	0.851	646.0	4.756000000000001e-209								Phage tail baseplate hub (GPD) [PF05954.14]			VOG01357	sp|P21679|BPD_BP186 Probable baseplate hub protein; XhXs	Xs;Xh	0	0	2	False	VF
1__1_partial_1-cat_1_3	final-viral-combined-for-dramv	1__1_partial_1-cat_1	3	1643	2128	-1	C	K06906	uncharacterized protein	YP_001718719.1	YP_001718719.1 P2 gpU-like tail protein [Salmonella virus Fels2]	False	0.834	278.0	2.5730000000000001e-85								Phage P2 GpU [PF06995.14]						0	0	1	False	F
1__1_partial_1-cat_1_4	final-viral-combined-for-dramv	1__1_partial_1-cat_1	4	2125	5202	-1	E			YP_001718720.1	YP_001718720.1 P2 gpT-like tail protein [Salmonella virus Fels2]	True	0.687	1403.0	0.0											VOG01926	REFSEQ putative tail length tape-measure protein; Xu	Xu	0	0	1	False	F
1__1_partial_1-cat_1_5	final-viral-combined-for-dramv	1__1_partial_1-cat_1	5	5329	5631	-1	D			YP_001718722.1	YP_001718722.1 P2 gpE-like tail protein [Salmonella virus Fels2]	False	0.843	177.0	1.84e-51								Phage tail assembly chaperone proteins, E, or 41 or 14 [PF10109.12]			VOG02422	sp|O64312|TAPFS_BPP2 Tail assembly protein E'; XhXrXs	Xs;Xh;Xr	0	0	1	False	V
1__1_partial_1-cat_1_6	final-viral-combined-for-dramv	1__1_partial_1-cat_1	6	5686	6201	-1	C	K06908	uncharacterized protein	YP_001718723.1	YP_001718723.1 P2 gpFII-like protein [Salmonella virus Fels2]	False	0.934	337.0	1.143e-105								Phage tail tube protein FII [PF04985.17]			VOG12986	sp|P22502|TUBE_BPP2 Tail tube protein; XhXpXrXs	Xs;Xp;Xh;Xr	0	0	1	False	V
1__1_partial_1-cat_1_7	final-viral-combined-for-dramv	1__1_partial_1-cat_1	7	6211	7383	-1	C	K06907	uncharacterized protein	YP_001718724.1	YP_001718724.1 P2 gpFI-like protein [Salmonella virus Fels2]	True	0.881	716.0	1.203e-232								Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]			VOG02602	sp|P85993|TSP_BPSK2 Major tail sheath protein; XpXrXs	Xs;Xp;Xr	0	0	1	False	V
1__1_partial_1-cat_1_8	final-viral-combined-for-dramv	1__1_partial_1-cat_1	8	7519	8121	-1	D			YP_009877363.1	YP_009877363.1 Phage tail fiber assembly protein @ Phage tail fiber assembly protein, TfaP/TfaQ type [Escherichia virus P2-4A7b]	False	0.33	102.0	1.182e-23								Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]			VOG00298	sp|P03740|TFA_LAMBD Tail fiber assembly protein; Xs	Xs	0	0	1	False	V
1__1_partial_1-cat_1_9	final-viral-combined-for-dramv	1__1_partial_1-cat_1	9	8121	9668	-1	D			YP_001718729.1	YP_001718729.1 P2 gpH-like protein [Salmonella virus Fels2]	True	0.658	463.0	8.451e-143								Phage tail-collar fibre protein [PF12571.11]; Phage Tail Collar Domain [PF07484.15]			VOG00244	sp|Q9T1R2|FIBER_BPAPS Putative tail fiber protein gp36; Xs	Xs	0	0	1	False	V
1__1_partial_1-cat_1_10	final-viral-combined-for-dramv	1__1_partial_1-cat_1	10	9665	10270	-1	D			YP_001718730.1	YP_001718730.1 P2 gpI-like baseplate assembly protein [Salmonella virus Fels2]	True	0.953	405.0	1.29e-128								Phage tail protein (Tail_P2_I) [PF09684.13]			VOG02385	sp|P26701|BPI_BPP2 Baseplate protein I; XhXs	Xs;Xh	0	0	1	False	V
1__1_partial_1-cat_1_11	final-viral-combined-for-dramv	1__1_partial_1-cat_1	11	10263	11171	-1	D			YP_001718731.1	YP_001718731.1 P2 gpJ-like baseplate assembly protein [Salmonella virus Fels2]	True	0.823	513.0	3.2100000000000003e-164								Baseplate J-like protein [PF04865.17]			VOG02461	REFSEQ baseplate J/gp47 family protein; Xu	Xu	0	0	1	False	
