	sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	iacuc_institute	iacuc_protocol_id	isolate_number	latitude	latitude_units	life_stage	longitude	longitude_units	mouse_dob	mouse_id	mouse_strain	qiita_study_id	sample_type	scientific_name	sex	taxon_id	tube_id	zarrinparlab_quant_ng_ul	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run	plate	observed_features	bin_name	outliers
23B_Day7_19	12986.23B.Day7.19	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	19	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-19_Day7	45.8	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Day7_2	12986.23B.Day7.2	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	2	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-2_Day7	0.0	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		24	middle	no
23B_Day7_20	12986.23B.Day7.20	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	20	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-20_Day7	69.8	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		77	AZ51_main	no
23B_Day7_21	12986.23B.Day7.21	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	21	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-21_Day7	34.5	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Day7_22	12986.23B.Day7.22	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	22	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-22_Day7	46.6	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		10	low	no
23B_Day7_23	12986.23B.Day7.23	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	23	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-23_Day7	46.9	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Day7_24	12986.23B.Day7.24	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	24	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-24_Day7	62.1	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Day7_3	12986.23B.Day7.3	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	3	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-3_Day7	67.1	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Day7_4	12986.23B.Day7.4	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	4	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-4_Day7	155.4	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Day7_5	12986.23B.Day7.5	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	5	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-5_Day7	83.8	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		26	middle	no
23B_Day7_6	12986.23B.Day7.6	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	6	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-6_Day7	59.8	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Day7_7	12986.23B.Day7.7	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	7	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-7_Day7	70.5	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Day7_8	12986.23B.Day7.8	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	8	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-8_Day7	63.2	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Day7_9	12986.23B.Day7.9	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	9	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-9_Day7	57.3	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Month3_1	12986.23B.Month3.1	1.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	1	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-1_Month3	61.0	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23B_Month3_10	12986.23B.Month3.10	1.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	10	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-10_Month3	59.7	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Month3_11	12986.23B.Month3.11	1.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	11	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-11_Month3	56.1	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		4	low	yes
23B_Month3_12	12986.23B.Month3.12	1.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	12	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-12_Month3	43.1	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Month3_13	12986.23B.Month3.13	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	13	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-13_Month3	19.5	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Month3_14	12986.23B.Month3.14	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	14	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-14_Month3	28.6	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Month3_15	12986.23B.Month3.15	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	15	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-15_Month3	21.0	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Month3_16	12986.23B.Month3.16	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	16	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-16_Month3	20.5	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Month3_17	12986.23B.Month3.17	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	17	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-17_Month3	27.7	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Month3_18	12986.23B.Month3.18	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	18	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-18_Month3	18.1	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Month3_19	12986.23B.Month3.19	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	19	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-19_Month3	22.0	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Month3_2	12986.23B.Month3.2	1.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	2	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-2_Month3	42.3	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Month3_20	12986.23B.Month3.20	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	20	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-20_Month3	19.6	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		4	low	yes
23B_Month3_21	12986.23B.Month3.21	3.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	21	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-21_Month3	19.7	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Month3_22	12986.23B.Month3.22	4.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	22	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-22_Month3	19.9	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Month3_23	12986.23B.Month3.23	4.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	23	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-23_Month3	9.2	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Month3_24	12986.23B.Month3.24	4.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	24	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-24_Month3	15.2	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		13	AZ20_main	no
23B_Month3_3	12986.23B.Month3.3	1.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	3	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-3_Month3	48.4	23B	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
